"date","id","year","month","day","season","time_of_day","time","lat","lon","swell","beaufort","home_screen","effort","age","species","species_nice_name","group","count","behaviour","distance_band","shag_plumage","scientific_name","dist_to_coast","dist_to_mainland","region_mainland","region_islands"
"2025-07-26",5,2025,"July",26,"Winter","afternoon","16H 25M 48S",-46.61112106,168.362078,"0-0.5",2,"seabirds",NA,"dont_know","spotted_shag","Spotted shag","shag",1,"flying_N",NA,NA,"Stictocarbo punctatus",194.618885046551,194.618926231066,"Coastal","Coastal"
"2025-07-26",5,2025,"July",26,"Winter","afternoon","16H 26M 12S",-46.61389937,168.3620647,"0-0.5",2,"seabirds",NA,"adult","red-billed_gull","Red-billed gull","gull",2,"flying_N",NA,NA,"Chroicocephalus novaehollandiae scopulinus",235.760105721085,235.7600426272,"Coastal","Coastal"
"2025-07-26",5,2025,"July",26,"Winter","afternoon","16H 26M 29S",-46.61583739,168.3607709,"0-0.5",2,"seabirds",NA,"immature","stewart_island_shag","Stewart Island shag","shag",1,"flying_N",NA,NA,"Leucocarbo chalconotus",330.21321920757,330.213246232567,"Coastal","Coastal"
"2025-07-26",5,2025,"July",26,"Winter","afternoon","16H 27M 41S",-46.62307265,168.3544123,"0-0.5",2,"seabirds",NA,NA,"Thalassarche_sp","Unknown (Thalassarche) mollymawk","mollymawk_sooty",1,"sitting_on_water","200+",NA,"Thalassarche spp.",251.916397503724,251.916435707781,"Coastal","Coastal"
"2025-07-26",5,2025,"July",26,"Winter","afternoon","16H 28M 6S",-46.62548702,168.3522175,"0-0.5",2,"seabirds",NA,"adult","Cape_pigeon","Cape petrel","petrel",1,"flying_N",NA,NA,"Daption capense",364.397568423864,364.397481245779,"Coastal","Coastal"
"2025-07-26",5,2025,"July",26,"Winter","afternoon","16H 30M 17S",-46.63858613,168.3406316,"0-0.5",1,"seabirds",NA,"dont_know","pied_shag","Pied shag","shag",1,"flying_N",NA,NA,"Phalacrocorax varius",1481.936348716,1481.93634796486,"Coastal","Coastal"
"2025-07-26",5,2025,"July",26,"Winter","afternoon","16H 32M 3S",-46.64470261,168.3334938,"0-0.5",1,"seabirds",NA,"dont_know","red-billed_gull","Red-billed gull","gull",2,"flying_N",NA,NA,"Chroicocephalus novaehollandiae scopulinus",2131.53465468818,2131.53458794457,"Coastal","Coastal"
"2025-07-26",5,2025,"July",26,"Winter","afternoon","16H 34M 20S",-46.65776015,168.3223784,"0-0.5",1,"seabirds",NA,"dont_know","Thalassarche_sp","Unknown (Thalassarche) mollymawk","mollymawk_sooty",1,"sitting_on_water","100-200m",NA,"Thalassarche spp.",3669.44480412426,3669.4447128514,"Coastal","Coastal"
"2025-07-26",5,2025,"July",26,"Winter","afternoon","16H 36M 13S",-46.66856208,168.3130749,"0-0.5",1,"seabirds",NA,"adult","black-billed_gull","Black-billed gull","gull",8,"flying_N",NA,NA,"Chroicocephalus bulleri",4996.34843027323,4996.3483374415,"Coastal","Offshore"
"2025-07-26",5,2025,"July",26,"Winter","afternoon","16H 41M 37S",-46.69969875,168.2865981,"0-0.5",1,"seabirds",NA,"adult","white-capped_mollymawk","White-capped mollymawk","mollymawk_sooty",1,"sitting_on_water","100-200m",NA,"Thalassarche cauta steadi",8928.5159349635,8928.51584150432,"Offshore","Offshore"
"2025-07-26",5,2025,"July",26,"Winter","afternoon","16H 43M 28S",-46.71039989,168.2778875,"0-0.5",1,"seabirds",NA,"adult","white-capped_mollymawk","White-capped mollymawk","mollymawk_sooty",1,"flying_N",NA,NA,"Thalassarche cauta steadi",10281.8568391801,10281.8567457348,"Offshore","Offshore"
"2025-07-26",5,2025,"July",26,"Winter","afternoon","16H 47M 37S",-46.73477186,168.259451,"0-0.5",1,"seabirds",NA,"dont_know","Thalassarche_sp","Unknown (Thalassarche) mollymawk","mollymawk_sooty",1,"flying_N",NA,NA,"Thalassarche spp.",8854.41328928589,13327.3587393536,"Offshore","Offshore"
"2025-07-26",5,2025,"July",26,"Winter","afternoon","16H 47M 6S",-46.73169189,168.2616426,"0-0.5",1,"seabirds",NA,"dont_know","stewart_island_shag","Stewart Island shag","shag",1,"sitting_on_water","50-100m","bronze","Leucocarbo chalconotus",9219.77569168959,12946.5741072055,"Offshore","Offshore"
"2025-07-26",5,2025,"July",26,"Winter","afternoon","16H 48M 17S",-46.73870507,168.2566226,"0-0.5",1,"seabirds",NA,"adult","Buller's_mollymawk","Buller's mollymawk","mollymawk_sooty",1,"sitting_on_water","100-200m",NA,"Thalassarche bulleri",8389.53780214254,13814.567022279,"Offshore","Offshore"
"2025-07-26",5,2025,"July",26,"Winter","afternoon","16H 49M 55S",-46.74854761,168.2495826,"0-0.5",1,"seabirds",NA,"dont_know","common_diving_petrel","Common diving petrel","diving_petrel",2,"flying_W",NA,NA,"Pelecanoides urinatrix",7239.56979260978,14844.0146356957,"Offshore","Offshore"
"2025-07-26",5,2025,"July",26,"Winter","afternoon","16H 51M 4S",-46.75547324,168.2448423,"0-0.5",1,"seabirds",NA,"dont_know","common_diving_petrel","Common diving petrel","diving_petrel",1,"flying_S",NA,NA,"Pelecanoides urinatrix",6446.23945950413,14000.7611395518,"Offshore","Offshore"
"2025-07-26",5,2025,"July",26,"Winter","afternoon","16H 51M 59S",-46.76105127,168.2412628,"0-0.5",1,"seabirds",NA,"dont_know","common_diving_petrel","Common diving petrel","diving_petrel",1,"flying_E",NA,NA,"Pelecanoides urinatrix",5818.51752210173,13332.2622617972,"Offshore","Offshore"
